CCID,Prcsn_ss1,K_ss1,Doubt_ss1,Prcsn_ss2,K_ss2,Doubt_ss2,Prcsn_ss3,K_ss3,Doubt_ss3,Prcsn_ss4,K_ss4,Doubt_ss4,Prcsn_PerceptionTest,K_PerceptionTest
CC110033,0.67444,1.00000,28.35710,0.48435,1.94412,32.83930,0.50479,2.74325,39.89290,0.43562,3.64781,52.41070,1.01528,1.00000
CC110037,0.50754,1.00000,31.85710,0.36773,1.76493,44.39290,0.34134,2.33347,53.71430,0.35171,1.97406,78.42860,1.14814,0.97616
CC110045,0.74163,1.00000,17.62500,0.48694,2.00000,19.35710,0.51064,2.88513,23.50000,0.37385,3.77762,33.75000,1.08186,1.00000
CC110056,0.53019,1.00000,5.73214,0.43002,1.87064,3.92857,0.44595,2.22198,26.69640,0.27764,2.57029,76.44640,0.79295,1.00000
CC110062,0.53146,1.00000,13.48210,0.36895,1.89127,15.62500,0.53574,1.50584,16.69640,0.28272,1.87390,18.89290,0.72666,1.00000
CC110069,0.79994,0.96742,8.75000,0.65263,1.95287,10.21430,0.54630,2.65084,10.57140,0.48890,3.41329,12.75000,0.82060,1.00000
CC110087,0.63028,0.99997,32.69640,0.47477,1.99999,39.28570,0.36027,2.99998,43.32140,0.51101,3.13983,66.73210,1.31549,1.00000
CC110098,1.39218,0.35789,10.26790,0.68247,0.92210,11.28570,0.22481,2.16068,11.66070,0.81808,0.96092,11.37500,0.48472,0.70509
CC110101,0.64353,1.00000,10.32140,0.39846,1.99998,19.75000,0.51038,2.77383,29.00000,0.49941,2.67918,61.75000,0.85595,1.00000
CC110126,0.70041,1.00000,19.58930,0.51984,1.80331,22.87500,0.29739,2.99993,23.64290,0.47588,3.50552,23.50000,0.72830,1.00000
CC110174,0.82617,1.00000,19.30360,0.61241,1.95604,28.16070,0.52979,2.80571,47.62500,0.40656,3.30042,55.21430,1.18311,1.00000
CC110182,0.51252,1.00000,13.46430,0.37773,1.80059,16.37500,0.40982,2.77471,16.87500,0.35026,2.88328,19.75000,0.62962,0.99999
CC110187,0.93593,0.91371,19.28570,0.37015,1.87187,19.82140,0.49450,2.59772,23.89290,0.35116,3.24567,32.23210,0.70436,0.97607
CC110319,0.66147,1.00000,14.69640,0.45497,1.91512,23.26790,0.34399,2.66588,28.67860,0.34837,3.34466,48.66070,1.05191,1.00000
CC110411,0.46274,0.99998,29.87500,0.32891,1.99999,34.73210,0.28775,2.57044,44.28570,0.37012,3.02934,42.57140,0.59759,1.00000
CC112141,0.68750,1.00000,31.42860,0.50889,2.00000,34.69640,0.58207,2.29319,44.17860,0.31215,2.99887,58.75000,0.83906,1.00000
CC120008,0.59370,0.96361,23.00000,0.47355,1.99999,30.25000,0.42383,2.80853,40.30360,0.43456,3.67262,46.69640,0.85700,1.00000
CC120049,0.76025,0.99997,32.78570,0.58718,1.96975,38.16070,0.43045,2.78947,51.48210,0.41530,3.87353,63.48210,0.95349,1.00000
CC120061,0.65949,0.97735,7.30357,0.38486,1.94168,7.51786,0.51987,2.57898,7.83929,0.39013,3.51360,8.07143,0.72023,1.00000
CC120065,0.83549,0.97763,25.26790,0.66063,1.83781,49.26790,0.31691,2.99978,56.00000,0.60601,3.08397,75.76790,1.02668,1.00000
CC120120,0.35660,1.00000,13.53570,0.53742,0.88690,14.30360,0.22165,1.46526,17.69640,0.38937,0.52975,19.44640,0.50767,0.96928
CC120123,0.88757,0.97002,19.01790,0.37316,1.93415,23.10710,0.51454,2.81450,31.96430,0.36058,3.61757,37.69640,0.71294,1.00000
CC120166,0.51494,1.00000,9.00000,0.44177,1.88470,10.32140,0.43930,2.86488,12.07140,0.35083,3.83134,14.83930,0.62040,1.00000
CC120182,0.47402,0.99997,12.33930,0.54191,1.40769,20.21430,0.30892,2.57365,18.19640,0.45703,2.67531,28.39290,0.86953,1.00000
CC120208,0.61832,1.00000,10.64290,0.71359,1.78284,17.50000,0.39410,2.93836,20.98210,0.31275,3.62825,22.41070,1.12435,1.00000
CC120218,0.51859,0.99999,4.58929,0.36292,1.94793,6.91071,0.29896,2.96744,9.28571,0.24062,3.94011,20.76790,0.61818,1.00000
CC120234,0.56970,1.00000,28.01790,0.51943,2.00000,34.21430,0.54014,2.81834,36.23210,0.37404,3.62684,54.10710,0.75175,1.00000
CC120276,0.59391,1.00000,19.55360,0.42082,1.99994,30.75000,0.44889,2.57460,39.64290,0.40252,2.92327,53.44640,0.84342,0.99989
CC120286,0.45396,1.00000,24.51790,0.39759,1.48486,31.57140,0.46441,1.36188,27.87500,0.48901,1.76820,34.16070,0.73366,1.00000
CC120309,0.52701,0.99998,18.78570,0.46127,1.82165,23.71430,0.37575,2.82294,38.96430,0.25362,3.24057,49.41070,0.75287,1.00000
CC120313,0.36789,0.88969,18.87500,0.51065,1.14339,27.64290,0.36025,2.06118,26.82140,0.27163,2.30265,38.55360,0.60945,1.00000
CC120319,0.46182,0.98041,18.21430,0.43845,1.81644,23.30360,0.37436,2.00177,31.07140,0.21692,2.73276,43.50000,0.72673,0.96661
CC120347,0.58840,1.00000,14.32140,0.50989,1.79404,17.01790,0.38154,2.50087,19.69640,0.37949,3.12860,22.80360,0.57348,1.00000
CC120376,0.92874,0.95561,17.46430,0.41507,1.87158,19.39290,0.35784,2.56319,23.23210,0.28662,3.40950,24.07140,1.24532,0.98385
CC120409,0.52904,0.97099,17.19640,0.45676,1.94568,24.28570,0.39602,2.31368,31.98210,0.48907,1.90730,45.78570,0.82791,0.98132
CC120462,0.62235,0.97345,17.00000,0.47676,1.77342,20.94640,0.28421,2.99992,25.46430,0.28374,3.33937,26.23210,0.53875,0.99999
CC120469,0.54906,0.97669,8.82143,0.48042,1.91866,10.28570,0.42056,2.73246,10.39290,0.46579,2.58948,13.66070,0.79822,1.00000
CC120470,0.89118,0.93502,17.48210,0.50137,1.93242,22.14290,0.38122,2.99992,19.16070,0.51696,3.91104,24.67860,1.05846,1.00000
CC120550,0.60129,0.99999,7.26786,0.46402,1.89025,9.66071,0.42673,2.43557,9.71429,0.36750,3.19108,10.82140,0.82024,1.00000
CC120640,0.71027,1.00000,26.80360,0.50410,1.89346,30.53570,0.43185,2.89261,36.19640,0.57410,3.32331,45.94640,0.95405,1.00000
CC120727,0.65696,0.96872,20.87500,0.55590,1.98074,27.41070,0.43772,2.66476,27.39290,0.26644,3.99998,34.51790,1.12808,1.00000
CC120764,0.49844,1.00000,3.94643,0.39975,1.95311,8.07143,0.31685,2.75040,15.44640,0.38337,2.05600,18.76790,0.77190,0.99966
CC120795,0.70997,1.00000,14.33930,0.46361,1.91317,19.03570,0.50402,2.15315,28.67860,0.51361,1.93037,31.23210,1.11319,0.92869
CC120816,0.57450,1.00000,10.96430,0.43581,1.82149,10.58930,0.43343,2.43134,11.35710,0.26907,3.55835,10.94640,0.67868,1.00000
CC120987,0.43530,1.00000,35.05360,0.43328,1.60279,39.26790,0.31740,2.11463,49.07140,0.67785,1.30384,59.69640,0.67289,1.00000
CC121106,0.75297,1.00000,22.12500,0.50678,1.57461,29.64290,0.28759,2.11091,37.07140,0.38785,2.72938,50.55360,0.78748,1.00000
CC121111,0.51112,0.96411,17.19640,0.29948,1.89453,17.53570,0.28754,2.99734,17.73210,0.38241,2.68376,17.37500,0.51914,0.99999
CC121144,0.61352,1.00000,1.28571,0.48000,1.95789,4.44643,0.45437,2.45184,5.12500,0.53744,3.01676,5.07143,0.59742,0.96986
CC121158,0.66467,1.00000,13.14290,0.42310,1.99999,15.75000,0.37335,2.77710,22.19640,0.49242,1.99246,34.82140,0.91782,0.96703
CC121194,0.62855,1.00000,5.82143,0.37845,1.74575,4.96429,0.37135,1.62071,4.76786,0.92832,0.77008,4.69643,0.62252,0.99999
CC121200,0.74137,1.00000,3.62500,0.63244,1.87087,5.12500,0.49939,2.72026,6.76786,0.42926,3.48900,8.98214,0.71288,0.94380
CC121317,0.66173,0.97642,11.17860,0.44221,1.84060,19.26790,0.43370,1.78551,24.67860,0.23814,3.99964,26.26790,0.71029,0.99999
CC121397,0.53449,0.99999,17.62500,0.39893,1.99988,28.37500,0.41201,2.36382,51.41070,0.29172,3.28807,73.17860,0.94799,1.00000
CC121411,0.79025,1.00000,4.12500,0.66797,2.00000,4.98214,0.54079,2.65912,7.19643,0.54406,2.91994,9.07143,0.86501,1.00000
CC121428,0.52294,1.00000,29.44640,0.60270,1.70974,32.51790,0.28441,2.70606,35.14290,0.32078,2.46158,45.76790,0.75681,1.00000
CC121479,0.62901,1.00000,12.44640,0.65202,1.91244,14.08930,0.52450,2.57704,14.44640,0.40272,3.30138,14.66070,0.91441,0.97761
CC121685,0.44368,1.00000,16.85710,0.68865,0.90847,21.85710,0.22061,1.90859,19.50000,0.33860,1.06651,27.78570,0.78653,0.99999
CC121795,0.64463,1.00000,5.03571,0.44374,1.83140,6.32143,0.46259,2.60382,20.05360,0.39404,3.20147,33.89290,0.76991,1.00000
CC122172,0.61885,0.99996,18.28570,0.60694,1.78522,19.41070,0.63176,2.83193,21.48210,0.60074,2.84590,21.32140,1.01719,1.00000
CC122405,0.51484,0.99216,2.10714,0.39810,1.99998,2.51786,0.47955,2.84871,3.62500,0.38060,3.73365,3.89286,1.00224,0.96280
CC122620,0.91211,0.93808,7.23214,0.56992,1.83573,8.00000,0.41325,3.00000,8.00000,0.50421,3.26079,8.12500,0.65652,1.00000
CC210023,0.52444,1.00000,8.05357,0.33548,1.90912,9.78571,0.37213,2.67933,13.21430,0.41150,2.90839,18.82140,0.94629,1.00000
CC210051,0.83324,0.97549,21.41070,0.53565,1.90497,25.44640,0.47975,2.84258,31.67860,0.41058,3.61698,30.82140,1.00416,1.00000
CC210088,0.57813,0.97052,22.21430,0.37460,1.87310,25.80360,0.44270,2.63150,26.64290,0.33964,3.44228,36.14290,0.85413,1.00000
CC210124,0.65490,1.00000,8.25000,0.44306,1.89638,5.28571,0.35865,2.48114,6.71429,0.28141,3.06167,9.55357,0.79209,1.00000
CC210148,0.58891,0.93343,8.85714,0.26076,1.86026,12.37500,0.50152,2.30715,17.85710,0.50050,2.96358,16.50000,0.57163,1.00000
CC210172,0.95403,1.00000,9.58929,0.66587,1.72862,11.94640,0.72796,2.62298,14.75000,0.56530,3.14861,21.41070,1.17618,1.00000
CC210174,0.66828,1.00000,15.48210,0.34362,1.99962,17.28570,0.48501,2.52489,17.58930,0.52994,2.53886,18.14290,0.93138,1.00000
CC210182,0.94343,0.95111,16.98210,0.56212,1.88191,27.05360,0.46134,2.78120,37.66070,0.39137,2.41651,63.64290,0.84781,1.00000
CC210250,0.59031,0.99999,11.73210,0.50982,1.79523,19.37500,0.41535,2.73563,19.64290,0.50081,2.72930,24.73210,0.75512,1.00000
CC210304,0.52621,0.99999,10.73210,0.35174,1.99999,16.25000,0.34903,2.57812,16.48210,0.33782,3.49032,25.85710,0.53399,1.00000
CC210314,0.71241,0.99999,19.35710,0.39510,1.87783,23.26790,0.42352,2.03317,23.80360,0.42996,2.94187,28.80360,0.83840,1.00000
CC210422,0.76943,1.00000,7.41071,0.43884,1.89927,9.23214,0.61065,2.39643,11.07140,0.32630,2.57268,14.66070,1.03942,0.99995
CC210519,0.60281,1.00000,6.10714,0.54661,1.87206,8.32143,0.37372,2.88209,9.28571,0.41263,2.97468,12.76790,0.81669,0.95885
CC210526,0.56995,0.96991,12.19640,0.40368,1.82954,15.14290,0.42355,2.03576,19.66070,0.54727,1.13365,27.66070,0.82444,1.00000
CC210617,0.96457,1.00000,5.08929,0.53225,1.94820,6.00000,0.42879,2.67708,10.23210,0.40305,2.96458,10.41070,0.94771,1.00000
CC210657,0.79923,1.00000,20.42860,0.58643,1.83524,25.83930,0.34871,2.44337,38.46430,0.41764,2.78832,55.42860,1.25137,1.00000
CC212153,0.63002,1.00000,4.32143,0.51586,1.83880,6.33929,0.45268,2.83914,7.08929,0.47450,3.16492,11.80360,0.76419,1.00000
CC220098,0.61268,1.00000,27.60710,0.44616,1.89565,37.62500,0.27115,2.99926,44.37500,0.50686,2.72554,52.05360,0.87005,1.00000
CC220107,0.85787,0.97597,6.39286,0.43719,1.99998,10.94640,0.45170,2.92560,16.32140,0.43611,3.16396,22.75000,0.75850,0.97574
CC220115,0.65343,0.97442,24.00000,0.55193,1.89036,28.66070,0.52534,2.46935,31.30360,0.52810,2.35031,33.83930,0.79110,1.00000
CC220132,0.67364,1.00000,26.39290,0.53180,2.00000,27.55360,0.49220,2.72842,31.73210,0.53344,2.78547,34.39290,0.83575,1.00000
CC220151,0.51751,0.75773,33.51790,0.34360,1.36809,42.92860,0.20851,2.95122,47.71430,0.22410,2.99836,51.32140,0.54605,1.00000
CC220198,1.07746,0.98761,7.87500,0.47318,1.89727,19.75000,0.46309,2.59186,23.44640,0.57012,2.50376,45.21430,0.89332,1.00000
CC220203,0.45327,0.97417,8.21429,0.30560,1.84811,9.03571,0.41108,2.04575,9.10714,0.34445,1.62112,8.87500,0.43599,1.00000
CC220223,0.57450,1.00000,10.96430,0.43581,1.82149,10.58930,0.43343,2.43134,11.35710,0.26907,3.55835,10.94640,0.67868,1.00000
CC220232,0.60946,1.00000,10.69640,0.41689,2.00000,17.94640,0.52546,2.68405,27.07140,0.27855,3.47886,39.16070,0.89254,1.00000
CC220234,0.57993,0.97126,28.96430,0.47211,1.95524,34.42860,0.40461,2.28499,46.60710,0.32100,2.54921,65.01790,0.81962,0.98117
CC220284,0.66821,1.00000,11.76790,0.52325,2.00000,17.66070,0.57300,2.78411,21.39290,0.43155,3.05453,46.51790,1.32147,1.00000
CC220323,0.59838,1.00000,17.94640,0.59716,1.90792,22.41070,0.48227,2.46918,33.21430,0.40297,2.36046,49.44640,0.88907,1.00000
CC220335,0.56292,1.00000,23.69640,0.47883,1.81076,28.66070,0.38564,2.68478,33.83930,0.40458,3.04606,46.37500,0.68712,1.00000
CC220352,0.81417,1.00000,14.53570,0.42823,1.91688,18.00000,0.44005,3.00000,19.51790,0.42542,3.43615,26.39290,0.99476,1.00000
CC220372,0.27870,0.85239,18.87500,0.34974,1.45304,23.75000,0.21693,2.48032,40.51790,0.32205,1.67258,63.87500,0.49356,1.00000
CC220394,0.50731,0.99957,15.50000,0.52771,1.88909,22.33930,0.31148,2.81202,29.50000,0.36230,3.34540,37.23210,0.80395,1.00000
CC220419,0.69789,1.00000,6.82143,0.57829,1.92994,10.10710,0.47027,2.75631,14.91070,0.40478,3.58419,23.42860,1.03407,1.00000
CC220506,0.73435,1.00000,6.55357,0.65687,1.90324,10.00000,0.46085,2.74266,17.76790,0.40395,3.38885,24.66070,1.41710,0.95844
CC220518,0.55717,0.99999,11.92860,0.35166,1.92729,16.57140,0.45065,2.07886,28.67860,0.32184,1.66102,48.78570,0.83053,1.00000
CC220519,0.60789,1.00000,19.07140,0.55554,1.66039,27.92860,0.33875,2.93103,31.80360,0.33567,3.28746,40.46430,0.93936,1.00000
CC220526,0.61084,1.00000,21.66070,0.50602,1.89908,23.55360,0.35982,2.93156,27.03570,0.36520,2.90426,25.41070,0.77136,1.00000
CC220535,0.84277,1.00000,2.05357,0.56371,1.73005,2.00000,0.40040,3.00000,2.07143,0.36396,2.99290,1.98214,0.56480,0.97142
CC220567,0.65911,0.99751,31.64290,0.60840,1.90274,35.50000,0.50529,2.73875,34.44640,0.64722,2.89974,36.82140,1.13384,1.00000
CC220610,0.84863,1.00000,2.75000,0.66689,1.95501,4.55357,0.59270,2.91364,6.98214,0.48769,3.88996,10.55360,0.91966,1.00000
CC220635,0.87856,1.00000,15.69640,0.72486,2.00000,17.28570,0.48070,2.99999,22.55360,0.40514,3.50531,23.48210,1.04607,1.00000
CC220713,0.66890,1.00000,2.00000,0.67778,1.79217,2.07143,0.38115,2.60369,4.76786,0.31964,3.12781,1.92857,1.05374,0.97895
CC220806,0.72900,1.00000,5.07143,0.57843,1.85948,5.23214,0.41029,1.96824,5.01786,0.33201,1.89045,4.44643,0.96243,1.00000
CC220828,0.80003,1.00000,19.73210,0.57875,2.00000,27.00000,0.36154,2.99999,29.87500,0.45993,2.70005,42.16070,1.36816,1.00000
CC220843,0.52028,0.97914,28.98210,0.31309,1.87379,32.51790,0.41143,2.71041,39.35710,0.43981,2.83077,38.16070,0.96858,1.00000
CC220901,0.55789,0.97089,3.98214,0.46176,1.86539,4.05357,0.44422,2.43376,4.42857,0.28732,3.36965,5.50000,0.71176,1.00000
CC220920,0.95665,0.97625,19.41070,0.51956,1.90923,20.35710,0.38264,2.77768,21.85710,0.37848,2.78739,28.25000,0.93527,1.00000
CC220974,0.21607,0.99194,10.21430,0.22748,1.72455,8.69643,0.24806,2.00397,10.69640,0.20881,3.43389,12.05360,0.55796,0.97786
CC220999,0.57720,1.00000,45.76790,0.38415,1.83225,60.44640,0.23437,2.78671,71.82140,0.45375,1.97273,79.98210,1.09167,1.00000
CC221002,0.66261,1.00000,19.94640,0.47021,2.00000,28.33930,0.38380,2.64020,44.10710,0.80605,1.56332,103.67900,0.83590,1.00000
CC221031,0.56429,0.99996,10.23210,0.35020,1.77414,12.75000,0.39082,2.33267,11.48210,0.30911,2.65405,14.23210,0.96128,1.00000
CC221033,0.86785,1.00000,19.30360,0.71556,2.00000,27.96430,0.54200,2.79149,36.17860,0.56600,3.28701,55.58930,1.15283,1.00000
CC221038,0.54263,1.00000,16.60710,0.48074,1.66208,29.76790,0.46254,2.74395,36.41070,0.37185,3.42076,47.78570,0.81463,1.00000
CC221040,0.58340,1.00000,11.62500,0.39523,1.73033,17.42860,0.36656,2.51947,24.55360,0.69739,1.76148,37.96430,0.85797,0.94441
CC221054,0.61431,1.00000,2.58929,0.27645,1.90601,2.60714,0.36615,2.00388,2.55357,0.33055,2.56507,3.32143,0.65638,1.00000
CC221107,0.61951,0.99999,29.01790,0.42745,1.95793,37.33930,0.38951,2.65104,50.60710,0.35319,3.79928,49.07140,0.64964,1.00000
CC221209,0.91172,0.93905,3.46429,0.65428,1.72130,3.83929,0.27577,2.80248,4.07143,0.36883,2.71973,4.44643,1.20898,0.97882
CC221220,0.85506,1.00000,13.69640,0.36229,1.86179,18.12500,0.42926,2.92309,18.96430,0.28975,3.71034,25.00000,1.17596,0.95585
CC221244,0.80115,0.99999,11.01790,0.52816,1.93164,13.25000,0.45411,2.91182,14.07140,0.47343,3.38507,19.12500,0.75519,1.00000
CC221324,0.94364,1.00000,8.17857,0.56032,1.88451,15.30360,0.36896,2.99982,23.82140,0.43041,3.54560,34.25000,0.80908,1.00000
CC221336,0.67787,0.99999,17.19640,0.51064,2.00000,26.30360,0.43215,2.88491,37.55360,0.34795,3.95958,41.80360,1.13279,1.00000
CC221352,0.72281,0.89665,7.62500,0.42838,1.99997,7.69643,0.32032,2.85159,8.44643,0.33498,2.89024,8.96429,1.04282,1.00000
CC221373,0.65717,1.00000,15.48210,0.53184,1.85949,26.67860,0.45129,2.57602,42.37500,0.53142,1.75527,73.66070,1.56630,0.89777
CC221487,0.57027,1.00000,9.41071,0.47323,1.99999,9.91071,0.35913,2.99905,11.07140,0.36375,3.99999,13.35710,0.77071,1.00000
CC221511,0.61641,1.00000,1.89286,0.49919,1.88572,2.42857,0.43149,2.39804,2.55357,0.54297,2.04887,6.60714,0.79965,1.00000
CC221527,0.50557,0.99999,7.51786,0.38300,1.87232,8.62500,0.41746,2.63829,9.12500,0.22455,3.45770,8.87500,0.78662,1.00000
CC221565,0.82444,0.97028,6.57143,0.54191,1.85729,10.41070,0.40245,2.71705,11.62500,0.52824,2.98593,15.05360,1.13978,0.95759
CC221580,0.72096,1.00000,10.96430,0.52879,1.96668,11.33930,0.47120,2.88516,11.51790,0.40109,3.53836,12.91070,1.06943,1.00000
CC221585,0.44708,1.00000,6.64286,0.41002,1.82568,7.32143,0.28336,2.52340,7.05357,0.27602,3.08663,7.60714,0.94596,1.00000
CC221595,0.67660,0.97333,7.10714,0.44710,1.96196,8.76786,0.29196,2.74970,7.03571,0.38711,2.72943,15.64290,0.79936,1.00000
CC221648,0.64176,1.00000,11.30360,0.51372,2.00000,10.80360,0.52408,2.65655,11.37500,0.33246,3.72164,13.16070,1.12378,1.00000
CC221740,0.54809,0.98424,15.50000,0.36651,1.99992,20.05360,0.37240,2.26417,24.19640,0.37667,2.47766,24.67860,0.86031,1.00000
CC221755,0.65092,0.98500,1.80357,0.47634,1.95062,1.71429,0.46937,2.58939,1.85714,0.53384,2.51697,1.83929,0.77991,0.97815
CC221775,0.60141,0.97218,21.64290,0.53794,1.95393,25.58930,0.48367,2.75910,29.26790,0.43642,3.17545,60.33930,0.66761,0.99999
CC221828,0.58116,1.00000,3.17857,0.48470,1.53582,3.48214,0.43304,1.96612,2.73214,0.32811,1.84299,3.83929,0.99444,1.00000
CC221886,0.68948,1.00000,20.85710,0.51625,1.80282,22.76790,0.46765,2.64156,23.41070,0.29818,3.60773,24.30360,1.08418,1.00000
CC221935,0.39021,1.00000,35.00000,0.44662,1.79362,42.30360,0.36985,2.58744,49.14290,0.44726,2.84803,75.50000,0.98415,1.00000
CC221954,0.75664,1.00000,11.46430,0.54310,1.44997,15.17860,0.52643,1.83835,15.91070,0.66150,1.82847,18.60710,0.75933,1.00000
CC221977,0.53678,1.00000,32.94640,0.42164,1.83545,36.32140,0.46387,2.56184,38.94640,0.23278,3.71702,41.78570,0.70837,1.00000
CC221980,1.06628,1.00000,30.51790,0.53517,1.99965,43.83930,0.47783,3.00000,51.57140,0.41972,3.31766,73.51790,1.09050,1.00000
CC222120,0.52519,1.00000,2.46429,0.39883,1.84473,3.41071,0.28872,2.61520,3.55357,0.32815,2.45195,4.07143,0.78948,1.00000
CC222125,0.49706,0.92742,31.55360,0.46182,1.56237,34.73210,0.57807,2.27174,43.46430,0.32121,2.96540,50.80360,0.62662,1.00000
CC222185,0.81748,0.91929,8.66071,0.48102,1.92256,9.21429,0.44547,2.16876,27.69640,0.24702,3.99289,54.32140,0.82035,0.99991
CC222258,0.72366,1.00000,2.07143,0.46317,1.81174,3.78571,0.36417,2.99996,7.26786,0.42832,3.24895,12.51790,0.95314,1.00000
CC222264,0.82856,1.00000,14.37500,0.47748,1.95820,22.71430,0.38077,2.83477,29.21430,0.43832,3.45827,34.05360,1.36200,1.00000
CC222304,0.55013,1.00000,21.08930,0.49325,1.84197,34.14290,0.34859,2.99998,42.76790,0.51593,2.72388,61.83930,0.83361,0.99999
CC222326,0.63765,0.91286,7.19643,0.39226,1.67994,7.60714,0.61875,1.94637,7.25000,0.37634,2.15135,8.03571,0.74921,1.00000
CC222367,0.87358,1.00000,18.91070,0.55445,1.90967,25.78570,0.52766,2.87298,32.32140,0.43901,3.31279,57.94640,1.44243,1.00000
CC222555,0.48660,0.99996,14.10710,0.45844,1.80998,15.12500,0.31299,2.64227,13.71430,0.45310,2.97858,16.78570,0.75332,1.00000
CC222652,0.60429,1.00000,5.05357,0.42578,1.80359,6.32143,0.48007,2.39654,6.35714,0.54100,3.11169,7.35714,0.79495,0.98022
CC222797,0.73839,1.00000,5.57143,0.57428,1.95783,8.85714,0.45082,3.00000,10.89290,0.47970,3.82591,12.03570,1.02487,1.00000
CC222956,0.48069,0.98920,22.66070,0.36848,1.90554,25.14290,0.24640,2.70300,26.17860,0.36426,2.86903,27.98210,0.72860,0.99998
CC223085,0.64757,1.00000,12.48210,0.50159,1.86900,13.39290,0.33978,2.99999,19.33930,0.38701,2.38226,27.00000,0.93847,1.00000
CC223115,0.63523,0.99999,28.00000,0.53219,1.75365,35.92860,0.45090,2.56422,33.80360,0.24525,3.67972,50.07140,0.72804,1.00000
CC223286,0.64292,1.00000,5.98214,0.53243,1.96086,14.50000,0.35350,2.99948,21.39290,0.28763,3.58519,40.32140,1.02542,1.00000
CC310008,0.65588,1.00000,8.21429,0.37554,1.75577,10.21430,0.72161,1.04255,11.26790,0.51441,1.45600,16.26790,0.67087,1.00000
CC310051,0.61099,1.00000,2.73214,0.41089,1.84925,2.96429,0.30785,2.46733,2.69643,0.36158,2.88579,2.96429,0.49492,1.00000
CC310052,0.64773,1.00000,6.57143,0.42608,1.99565,7.39286,0.36391,2.61296,12.19640,0.41880,2.15392,20.17860,0.78397,1.00000
CC310086,0.73286,1.00000,2.78571,0.58294,2.00000,3.42857,0.51965,2.85960,4.16071,0.43584,2.90132,4.25000,1.05997,1.00000
CC310127,0.44008,1.00000,5.21429,0.37993,2.00000,5.71429,0.31000,2.83658,5.82143,0.31164,2.52231,5.98214,0.64666,1.00000
CC310129,0.40907,0.99999,16.91070,0.37691,1.39155,24.67860,0.30441,1.36365,36.76790,0.22509,1.89190,45.21430,0.62299,1.00000
CC310135,0.91512,1.00000,9.16071,0.58884,1.86727,20.42860,0.46835,2.70746,40.00000,0.29784,3.34395,68.92860,1.19413,1.00000
